state,crop,N,P,K,ph,rainfall_2025_mm,temp_2025_C,pesticide_2025_kg_ha,yield_2025_t_ha
Himachal Pradesh,millet,24.8,12.83,29.2,7.59,566.19,29.75,0.063,2.276
Madhya Pradesh,coffee,43.6,30.08,32.01,5.88,1881.07,25.82,0.292,1.369
Arunachal Pradesh,potato,114.36,65.1,211.81,5.56,1100.32,17.66,1.115,32.393
Kerala,soybean,39.17,30.05,21.02,6.86,641.48,27.92,0.437,2.156
Chhattisgarh,sugarcane,142.48,65.56,111.71,7.31,1506.79,27.32,0.869,69.758
Chhattisgarh,potato,140.34,86.15,181.93,5.25,738.54,23.13,0.345,31.619
Assam,soybean,40.14,44.4,37.93,7.07,515.39,29.68,0.566,2.761
Meghalaya,mango,88.56,50.71,127.39,6.95,692.11,33.92,0.64,13.558
Telangana,potato,141.51,86,126.8,6.46,1638.82,10.56,0.407,26.455
Bihar,soybean,34.54,54.94,21.14,6.97,885.2,28.42,0.497,3.034
West Bengal,sugarcane,125.18,81.95,89.06,6.04,1291.72,24.83,1.603,57.936
Odisha,coffee,50.67,31.9,45.97,6.29,1805.55,18.17,0.459,1.795
Maharashtra,tea,44.95,35.03,35.08,5.21,2637.55,19.33,0.908,3.771
Karnataka,soybean,44.51,38.23,43.36,6.6,542.82,20.84,0.42,1.99
Punjab,millet,20.58,15.08,35.34,7.3,351.41,30.42,0.259,2.291
Haryana,mango,101.89,59.01,69.31,7.24,1461.01,23.95,1.018,29.146
Telangana,groundnut,34.58,28.29,68.1,5.71,829.98,33.61,0.525,3.271
Maharashtra,maize,62.6,36.45,48.56,6.26,776.57,18.5,0.37,4.594
Jharkhand,groundnut,32.51,31.85,40.82,6.49,577.92,32.95,0.106,2.507
Chhattisgarh,tea,48.72,34.52,39.85,5.95,3044.57,18.63,0.522,2.325
Gujarat,soybean,44.92,55.23,27.09,7.18,552.55,29.31,0.286,1.021
Andhra Pradesh,banana,171.04,58.38,346.72,6.91,1981.79,23.17,0.667,30.735
West Bengal,cotton,75.13,52.61,99.27,7.88,965.45,29.92,1.43,2.352
Gujarat,millet,48.94,19.51,25.8,7.12,517.44,33.29,0.152,2.444
Tripura,banana,192.91,41.38,332.09,6.26,1262.01,23.27,1.127,32.69
Himachal Pradesh,tea,30.91,27.04,59.44,4.69,1901.25,16.62,0.564,2.346
Odisha,groundnut,34.83,22.4,71.37,6.14,510.26,27.51,0.52,1.645
Andhra Pradesh,tea,53.94,34.51,41.59,5.34,1646.9,15.53,0.431,3.278
Mizoram,rice,109.47,50.7,34.59,5.65,1013.28,31.77,0.525,4.971
Manipur,coffee,44.53,48.36,58.96,6.41,2264.11,27.05,0.409,2.215
Goa,cotton,90.1,59.03,76.11,7.87,654.34,30.41,1.86,0.869
Telangana,tea,34.03,34.01,30.41,5.97,3188.99,15.8,0.455,3.78
Nagaland,cotton,76.85,55.35,61.22,7.07,697.71,25.85,1.726,0.943
Meghalaya,maize,74.4,29.4,40.61,6.37,753.83,27.39,0.489,2.626
Gujarat,wheat,90.46,50.79,30.62,6.45,488.99,16.26,0.75,4.185
Rajasthan,tea,43.9,25.35,35.84,5.63,3394.46,19.19,0.817,3.383
Madhya Pradesh,sugarcane,164.59,74.72,115.09,6.3,1494.88,24.79,0.999,83.202
Tripura,maize,67.66,31.51,32.91,6,915.82,21.76,0.379,3.122
Odisha,groundnut,34,36.45,50.21,7.04,480.89,24.47,0.348,1.73
Manipur,tomato,125.08,75.12,95.05,5.91,697.43,20.43,2.761,25.976
Uttarakhand,soybean,30.18,43.6,30.11,6.04,581.82,24.37,0.228,2.389
Goa,mango,98.35,52.78,56.46,6.22,1003.42,24.93,0.87,16.253
Meghalaya,potato,192.72,53.31,247.42,5.62,1244.48,15.35,0.529,32.465
Kerala,soybean,51.26,36.74,25.45,7.2,412.33,28.17,0.573,2.171
Rajasthan,rice,70.87,43.49,36.06,6.54,887.47,25.7,1.275,3.708
Himachal Pradesh,tea,38.89,31.33,39.99,4.84,4246.95,17.01,0.971,3.635
Goa,tea,30.86,31.91,38.67,5.62,2483.87,24.63,0.312,2.512
Goa,banana,176.06,60.56,374.6,5.61,2574.65,20.23,0.671,46.361
Jharkhand,rice,106.3,41.45,36.33,6.44,1631.35,32.07,1.3,6.666
West Bengal,tea,53.31,25.4,33.35,5.44,2924.67,23.38,0.325,2.238
Uttarakhand,groundnut,29.36,38.63,42.08,6.05,764.88,28.19,0.299,2.475
Uttar Pradesh,rice,81.52,43.04,35.54,5.8,1425.17,26.59,0.399,6.384
Karnataka,banana,155.43,53.9,220.82,6.34,2490.63,19.72,1.063,55.53
Arunachal Pradesh,tomato,131.04,73.1,127.82,6.33,1060.12,20.89,1.04,82.392
Bihar,cotton,71.93,47.38,80.9,7.88,766.15,34.14,0.703,1.421
Uttar Pradesh,rice,87.86,47.67,40.35,6.84,1262.62,25.99,1.214,4.001
Uttar Pradesh,coffee,35.96,31.32,47.42,5.52,1686.8,26.42,1.173,1.293
Assam,millet,37.97,11.26,26.1,6.21,611.9,35.21,0.066,2.167
Tripura,banana,168.67,45.15,247.87,5.93,2829,21.91,1.797,63.97
Sikkim,coffee,44.74,40.64,32.7,6.09,3025.65,21.53,0.916,1.128
Gujarat,cotton,67.78,41.67,82.67,6.81,749.63,32.69,0.736,1.26
Tamil Nadu,pulses,32.25,31.93,29.75,7.31,417.32,23.97,0.034,1.035
Gujarat,cotton,89.99,36.73,40.96,7.86,775.69,34.09,1.057,1.415
Uttar Pradesh,cotton,79.36,55.56,45.71,6.65,597.04,28.55,1.556,1.689
Tamil Nadu,banana,189.92,72,397.7,6.74,1887.4,20.77,0.721,42.332
Meghalaya,mango,54.3,29.34,147.94,6.27,971.7,25.49,1.016,16.402
Himachal Pradesh,wheat,98.94,38.99,43.66,6.79,645.44,15.46,0.544,5.418
Rajasthan,maize,54.41,47.4,25.31,5.54,366.7,29.8,0.827,4.384
Himachal Pradesh,tea,49.39,37.12,48.67,5.94,4025.73,16.31,0.893,2.414
Meghalaya,cotton,66.59,58.29,43.48,7.42,547.83,27.22,2.087,0.883
Tripura,sugarcane,137,64.32,139.17,6.85,1087.91,24.72,1.059,96.464
Sikkim,groundnut,37.12,37.19,56.66,6.59,464.17,26.11,0.336,2.422
Telangana,banana,164.18,95.32,254.51,6.12,2326.12,24.07,1.606,66.966
Maharashtra,potato,177.69,79.92,178.15,5.54,926.28,19.32,0.647,13.85
Assam,millet,35.07,16.36,23.48,7.41,460.23,32.32,0.152,2.233
Goa,tea,40.97,28.34,33.34,5.54,1593.62,20.66,0.223,3.031
Arunachal Pradesh,cotton,99,42.88,63.84,6.22,683.42,29.63,1.351,1.9
Andhra Pradesh,tomato,121.75,67.78,101.96,5.88,855.03,24.93,2.653,41.835
Nagaland,tomato,149,43.02,119.29,6.53,1260.8,27.48,2.137,26.738
Manipur,millet,38.17,27.03,29.46,6.78,246.44,26.72,0.147,0.972
Andhra Pradesh,wheat,90.63,37.19,48.69,7.06,280.58,12.43,0.555,2.058
Jharkhand,cotton,90.77,41.86,61.96,6.65,641.81,31.15,1.517,0.76
Punjab,pulses,34.06,38.12,35.14,6.81,748.23,29.81,0.23,0.868
Assam,millet,44.13,29.04,25.78,7.73,529.54,30.21,0.128,2.159
Kerala,potato,192.59,63.99,187.5,6.22,1619.89,18.97,1.794,21.589
Himachal Pradesh,groundnut,33.55,38.77,69.76,7.07,518.09,21.33,0.2,0.947
Punjab,sugarcane,178.71,88.13,95.81,6.09,888.65,25.7,1.781,69.723
Kerala,coffee,61.56,31.93,48.04,5.63,2133.32,26.48,0.519,1.095
Andhra Pradesh,groundnut,44.68,28.22,53.27,6.63,872.28,22.85,0.332,3.03
Meghalaya,pulses,36.37,42.23,22.95,7.24,263.26,28.13,0.052,0.738
Rajasthan,pulses,27.63,25.71,38.08,6.58,812.67,22.9,0.083,2.061
Telangana,millet,25.06,11.74,17.41,7.4,510.13,26.74,0.189,1.412
Mizoram,cotton,78.61,37.97,83.31,6.43,672.18,27.88,0.817,1.095
Karnataka,rice,74.9,46.54,52.65,6.95,1076.32,30.28,0.643,2.776
Telangana,coffee,48.19,42.36,54.1,5.83,2694.56,27.96,1.038,2.092
Manipur,potato,102.9,74.72,136.21,5.49,519.49,14.53,0.547,26.89
Arunachal Pradesh,soybean,24.45,49.04,39.82,6.5,509.77,26.08,0.52,2.074
Tamil Nadu,wheat,93.34,57.42,27.56,7.31,398.59,18.62,0.778,3.438
Punjab,coffee,65.68,43.33,42.3,5.53,3125.25,22.97,0.515,2.802
Manipur,mango,78.66,37.74,144.5,6.63,1005.04,27.63,0.467,15.755
Odisha,millet,26.1,10.03,33.4,6.3,436.09,25.3,0.267,2.036
Tripura,tea,43.16,36.99,56.26,5.67,3171.51,19.44,0.577,2.528
Telangana,millet,22.74,20.69,29.48,6.93,423.05,27.07,0.149,0.858
Punjab,millet,38.09,15.03,34.62,7.5,254.42,26.56,0.248,1.497
Haryana,tomato,80.69,41.64,83.14,5.72,1401.39,19.05,1.017,48.149
Sikkim,tea,39.64,26.3,39.54,4.91,2874.84,23.25,0.437,2.771
Arunachal Pradesh,mango,76.66,38.85,80.33,7,1057.09,21.01,0.638,11.703
Arunachal Pradesh,millet,30.13,11.47,30.69,7.66,551.77,34.52,0.204,2.315
Punjab,mango,116,34.86,129.42,6.22,908.07,29.47,1.101,16.461
Odisha,millet,40.74,10.68,16.16,7.94,245.18,26.33,0.315,1.479
Arunachal Pradesh,tea,30.26,36.39,59.25,5.95,2858.11,25.01,1.045,3.264
Chhattisgarh,tomato,123.1,74,151.09,6.1,1240.41,20.62,1.602,65.181
Arunachal Pradesh,banana,154.3,99.92,307.26,6.83,1906.11,29.85,0.558,41.185
Assam,tea,41.9,23.65,33.42,5.69,2771.36,16.47,0.958,2.998
Assam,soybean,45.97,38.79,22.62,6.6,683.4,29.96,0.172,1.837
Kerala,millet,22.96,21.19,19.69,6.9,245.21,32.37,0.207,1.971
Maharashtra,banana,169.88,90.2,247.71,5.64,1228.07,32.28,0.799,29.785
Jharkhand,maize,81.53,34.4,20.54,6.92,627.57,29.46,0.412,4.077
Jharkhand,millet,38.69,21.12,37.21,6.18,480.8,25.35,0.096,2.15
Andhra Pradesh,pulses,18.39,27.66,37.18,6.48,364.68,25.21,0.041,1.178
Rajasthan,mango,68.04,44.29,60.67,6.64,1588.43,26.39,0.35,15.089
Manipur,cotton,96.15,34.9,83.62,7.61,650.72,29.87,0.729,1.41
West Bengal,rice,82.53,40.87,37.65,6.71,1056.08,28.39,0.809,4.2
Chhattisgarh,groundnut,48.12,25.23,64.42,7.28,686.41,21.26,0.541,1.173
Manipur,wheat,67.54,31.46,33.24,6.92,577.16,18.17,0.366,2.386
Rajasthan,potato,121.36,51.19,136.38,6.02,591.41,14.86,0.408,32.616
Jharkhand,tomato,113.96,54.52,137.02,6.47,895.89,19.38,2.256,43.931
Karnataka,sugarcane,171.21,64.05,110.7,6.26,1213.48,22.71,1.586,57.726
West Bengal,wheat,60.1,41.18,33.96,7.52,367.47,10.73,0.911,3.115
Tamil Nadu,sugarcane,179.56,61.6,87.2,6.21,837,27.98,1.327,85.554
Manipur,tomato,115.89,79.98,134.35,6.71,1103.39,27.91,2.064,78.512
Odisha,mango,96.4,50.11,142.01,5.62,1051.05,25.26,0.61,16.527
Karnataka,potato,193.54,67.27,183.32,5.33,702.77,19.65,0.657,26.904
Uttar Pradesh,mango,53.31,35.85,131.19,5.96,900.1,29.96,0.899,24.056
Himachal Pradesh,potato,138.61,80.38,239.22,6.36,1291.54,23.74,1.273,27.757
Meghalaya,banana,242.83,50.17,328.33,6.11,1401.35,25.55,2.128,21.36
Rajasthan,groundnut,38.94,24.88,55.85,5.63,887.74,21.9,0.524,2.09
West Bengal,tea,56.17,37.67,45.08,5.81,2057.12,22.98,0.721,2.814
Andhra Pradesh,banana,211.06,57.15,246.8,6.35,1726.53,22.09,1.184,53.529
Sikkim,tomato,150.83,69.52,151.02,5.53,891.84,21.12,3.2,46.544
Uttarakhand,rice,107.71,36.53,32.5,5.99,1288.42,23.27,1.183,5.956
Uttarakhand,maize,78.27,47.33,43.87,5.61,450.62,27.37,0.658,4.081
Chhattisgarh,sugarcane,155.19,87.36,133.14,6.38,846.45,21.5,2.563,74
Assam,potato,194.03,81.82,119.57,6.36,1362.5,13.32,1.228,30.488
Madhya Pradesh,banana,215.07,78.81,305.61,6.73,2084.56,21.67,1.524,47.82
Chhattisgarh,maize,62.7,44.57,43.94,6.64,806.04,23.44,0.662,3.521
Tripura,mango,76.82,33.95,131.35,6.02,912.17,31.51,0.311,10.788
Uttar Pradesh,cotton,86.7,58.46,63.75,6.12,819.74,30.54,0.896,0.914
Karnataka,sugarcane,172.86,56.31,91.02,6.72,1590.05,26.74,2.045,65.872
Gujarat,tea,48.48,34.19,40.01,4.86,3561.53,22.36,0.278,4.013
Chhattisgarh,maize,79.58,22.71,43.22,5.89,369.03,25.03,0.148,2.57
Meghalaya,pulses,10.73,21.56,38.81,7.78,652.53,27.64,0.066,1.953
Assam,banana,247.62,71.43,245.02,6.9,2612.47,32.77,1.784,55.284
Karnataka,tomato,135.62,71.52,106.03,5.8,1087.7,27.55,2.834,42.485
Tripura,cotton,66.67,46.26,83.24,7.9,622.86,31.1,1.596,1.168
Chhattisgarh,rice,77.01,36.44,33.51,6.95,1379.71,31.54,1.337,3.805
Tamil Nadu,pulses,13.7,32.19,24.55,6.11,416.31,20.87,0.129,1.6
Meghalaya,coffee,57.48,43.01,57.31,6.15,2202.93,22.35,0.262,2.224
Uttarakhand,soybean,44.52,46.91,44.73,7.37,472.79,25.12,0.154,2.201
Tripura,potato,125.72,46.38,170.01,5.35,1310.67,11.6,0.773,41.47
Tamil Nadu,wheat,60.72,51.94,47.05,6.36,535.07,17.55,0.96,2.853
Tripura,pulses,33.2,30.96,23.6,6.85,690.97,24.24,0.077,1.305
Nagaland,tomato,124.7,64.43,116.12,6.75,659.54,28.02,2.634,66.777
Haryana,banana,246.13,57.48,259.66,6.98,1794.11,31.86,1.602,47.097
Bihar,soybean,47.3,57.92,26.32,6.15,511.95,21.63,0.431,2.105
Himachal Pradesh,potato,183.2,63.13,157.43,6.12,758.46,18,1.666,15.365
Chhattisgarh,sugarcane,163.87,77.69,105.91,7.11,936.56,30.07,2.857,61.313
Odisha,wheat,69.35,39.26,45.43,6.43,472.65,20.99,0.845,4.47
Himachal Pradesh,sugarcane,156.04,84.76,99.86,7.44,1409.21,28.97,2.078,63.968
Sikkim,banana,244.63,75.65,379.73,5.91,1018.37,21.62,1.715,36.981
Meghalaya,rice,76.4,30.52,43.92,5.61,1191.87,31.1,0.517,5.974
Nagaland,tea,59.07,22.92,48.68,5.07,4083.44,15.57,0.622,3.02
Gujarat,millet,30.9,17.58,30.58,6.34,379.08,27.67,0.126,1.16
Uttarakhand,tomato,89.85,44.35,155.48,6.18,879.94,29.98,2.187,36.09
Manipur,tomato,126.29,56.84,158.97,5.78,1396.34,28.86,2.717,25.386
Odisha,banana,172.8,95.89,300.89,6.36,1709.95,21.09,2.347,43.653
Kerala,mango,119.05,27.16,70.23,7.38,1387.81,33.81,0.72,16.397
Punjab,maize,55.31,21.6,35.31,6.42,595.1,25.09,0.44,4.446
Gujarat,banana,165.62,46.02,325.77,6.02,2176.64,23.96,1.667,33.456
Goa,pulses,11.05,23.23,25.96,6.84,419.04,23.43,0.169,1.601
Mizoram,coffee,45.7,20.97,39.74,6.45,2070.1,20.11,0.738,1.851
Jharkhand,pulses,18.56,29.8,19.49,6.75,522.94,19.07,0.16,1.512
Meghalaya,banana,159.27,58.49,395.57,6.87,1197.68,21.36,1.474,46.897
Tripura,mango,117.55,44.51,138.9,6.6,956.14,34.52,1.039,25.28
Mizoram,maize,56.2,31.76,47.44,5.72,582.04,29.46,0.803,3.839
Assam,groundnut,31.82,32.23,48.22,5.87,696.8,29.55,0.617,2.489
West Bengal,rice,103.41,50.92,55.92,5.21,932.36,30.15,1.018,4.374
Assam,millet,20.68,15.46,14.65,7.14,309.48,26.62,0.195,1.359
Nagaland,millet,42.53,28.34,31.3,6.63,351.81,28.07,0.332,0.769
Maharashtra,maize,78,37.77,28.05,5.66,660.62,24.81,0.243,5.67
Goa,millet,34.76,10.14,14.65,6.89,476.65,25.88,0.229,1.284
Meghalaya,groundnut,43.68,20.62,68.09,5.74,418.5,21.07,0.141,1.711
Meghalaya,wheat,63.92,30.98,26.65,7.31,721.26,12.04,0.536,4.055
Uttarakhand,tomato,141.68,48.97,81.65,5.87,719.05,19,1.973,27.183
Punjab,tomato,104.03,68.55,140.65,6.64,1325.48,24.82,2.557,76.424
Tamil Nadu,potato,178.87,69.5,102.01,5.97,624.62,21.73,0.961,19.456
Mizoram,cotton,60.79,54.22,69.4,6.67,912.45,28.38,1.417,1.942
Karnataka,tea,48.56,22,44.27,4.93,2670.58,18.19,0.566,2.371
Mizoram,tea,32.72,21.56,59.26,4.52,3926.44,25.2,0.225,4.415
Rajasthan,maize,54.71,26.88,42.84,7.4,742.89,24.61,0.226,3.691
Mizoram,tomato,141.78,42.78,114.23,5.84,1433.94,26.1,2.799,93.609
Odisha,soybean,43.97,57.41,40.69,7.4,504.04,29.86,0.628,2.151
Karnataka,tomato,108.82,52.41,108.75,6.38,993.72,22.83,1.58,23.958
Chhattisgarh,wheat,66.86,34.4,49.56,6.94,415.44,15.43,0.603,3.05
West Bengal,wheat,90.59,53.21,24.37,7.89,619.32,13.7,0.424,4.286
Maharashtra,pulses,15.21,27.85,16.96,6.3,761.21,21.06,0.075,1.429
Mizoram,groundnut,26.77,27.41,71.45,7.03,571.6,21.08,0.402,1.828
Punjab,maize,52.82,45.09,49.18,5.84,429.45,22.92,0.791,3.508
Meghalaya,rice,101.73,57.49,46.04,6.94,886.34,31.74,0.441,5.071
Odisha,tea,54.69,35.31,57.93,5.26,1851.33,20.9,0.546,2.403
Odisha,cotton,88.27,48.51,89.25,6.17,819.88,33.82,0.502,1.726
Chhattisgarh,banana,205.41,77.2,275.31,6.39,2885.07,20.4,1.575,51.929
Kerala,soybean,28.35,36.02,23.14,7.32,597.92,28.94,0.128,1.243
Chhattisgarh,millet,36.62,27.35,35.17,6.82,194.43,33.6,0.105,0.725
Odisha,millet,49.49,27.93,15.17,7,640.77,25.65,0.055,2.791
Uttar Pradesh,maize,60.43,24.3,43.28,7.13,560.11,31.4,0.502,5.392
Assam,cotton,78.52,58.32,63.31,7.89,726.18,25.24,1.879,1.029
Andhra Pradesh,mango,78.43,22.78,93.7,6.63,1235.06,25.57,1.157,27.035
West Bengal,sugarcane,161.66,63.59,120.45,7.2,1539.98,20.82,1.315,115.327
Sikkim,wheat,98.11,51.8,46.05,6.93,618.42,14.42,0.719,3.739
Telangana,banana,185.48,48.22,322.83,5.56,1519.81,24.97,2.22,49.283
Telangana,potato,193.95,42.29,242.85,6.41,975.28,22.2,0.383,35.537
Sikkim,tomato,130.73,71.67,129.72,5.67,631.1,26.94,2.287,54.047
Haryana,potato,131.66,93.12,133.81,6.38,939.69,19.15,1.426,18
Andhra Pradesh,wheat,72.64,46.5,38.86,6.48,407.97,16.5,0.764,2.35
Kerala,rice,93.82,51.75,41.48,6.49,1076.18,32.27,0.279,3.38
Assam,tea,54.16,38.11,56.17,5,3356.11,24.32,0.656,3.674
Arunachal Pradesh,cotton,82.02,53.27,62.8,7.94,655.17,34.23,1.007,1.174
Tamil Nadu,sugarcane,157.72,65.4,96.64,7.31,1681.12,21.99,0.908,72.753
Odisha,mango,89.84,46.49,146.02,6.25,1397.6,33.76,1.101,26.111
Arunachal Pradesh,pulses,37.8,28.18,38.67,7.47,548.41,23.33,0.199,1.284
Meghalaya,tomato,100.2,49.6,142.76,5.52,777.74,29.99,2.857,37.544
Mizoram,sugarcane,156.62,61.52,130.35,6.96,1783.95,30.35,2.22,104.186
Karnataka,wheat,61.03,41.33,29.46,7.23,486.24,16.89,0.722,2.092
Chhattisgarh,banana,206.12,78.31,349.43,6.88,2429.44,25.06,0.886,41.745
Sikkim,coffee,48.55,33.27,39.27,6.21,2619.37,22.56,0.269,2.667
Manipur,cotton,78.93,58.29,98.25,7.18,483.04,33.25,0.871,1.204
Gujarat,banana,156.91,47.84,281.4,6.55,1232.33,22.19,0.753,34.855
West Bengal,soybean,48.83,43.13,22.71,6.09,445.82,30.33,0.597,0.955
Gujarat,tomato,84.93,68.65,118.58,5.89,953.02,25.49,2.806,80.308
West Bengal,rice,70.65,58.51,58.56,6.7,1182.4,24.18,0.325,5.35
Arunachal Pradesh,sugarcane,150.69,52.97,130.59,7.11,775.48,28.33,1.196,79.692
Arunachal Pradesh,sugarcane,146.88,70.39,87.06,7.02,1390.3,20.42,1.431,71.071
Jharkhand,wheat,76.95,59.34,36.04,6.38,627.56,15.33,0.776,2.707
West Bengal,tomato,92.36,67.68,94.43,5.93,1425.56,22.6,3.064,41.785
Arunachal Pradesh,coffee,49.16,34.44,36.44,5.79,2219.97,25.4,0.386,2.108
Karnataka,mango,109.64,20.7,91.71,7.32,966.15,22.89,0.894,16.334
Madhya Pradesh,tea,41.79,36.73,46.01,5.32,1842.47,16.95,1.317,3.377
Karnataka,potato,101.89,45.74,169.99,5.03,1194.5,12.02,1.449,35.631
Andhra Pradesh,sugarcane,164.8,50.69,83.64,7.47,893.01,21.09,2.204,70.471
Bihar,soybean,50.66,56.5,41.03,7.48,461.38,25.72,0.104,1.645
Rajasthan,potato,118.11,55.48,142.31,5.96,1160.88,15.16,0.843,32.46
Chhattisgarh,millet,35.98,12.15,37.98,6.49,364.46,31.02,0.092,1.011
Maharashtra,millet,38.99,11.53,17.27,7.38,335.44,25.93,0.203,1.798
Tripura,mango,115.57,22.45,81.36,5.87,784.65,34.16,0.586,13.63
Tamil Nadu,tea,54.83,25.25,34.73,4.88,2642.1,20.32,0.691,3.38
Karnataka,mango,77.1,58.18,50.82,7.37,1585.46,20.11,0.308,14.631
Karnataka,tomato,135.73,72.58,109.33,6.76,1460.97,21.28,1.207,28.495
Goa,soybean,41.74,47.53,38.7,6.37,443.56,22.76,0.35,1.698
Tripura,sugarcane,140.68,86.77,101.88,6.85,2041.11,25.6,2.516,101.991
Andhra Pradesh,rice,100.07,36.4,47.54,6.14,812.9,22,0.709,2.454
Himachal Pradesh,cotton,88.68,55.93,61.84,7.63,581.73,32.53,1.728,1.66
Kerala,banana,162.85,64.7,209.25,6.32,1678.93,23.59,0.624,43.659
Bihar,maize,55.6,36.91,33.24,6.06,512.37,31.62,0.268,4.425
Madhya Pradesh,banana,169.98,92.79,348.4,6.04,2298.12,23.18,1.41,51.061
Sikkim,millet,32.57,28.69,19,6.95,596.2,35.57,0.251,1.772
Himachal Pradesh,millet,20.25,26.08,30.56,7.52,271.17,29.37,0.267,1.07
Uttarakhand,tomato,153.72,70.82,99.77,5.85,1098.34,19.55,2.722,63.826
Chhattisgarh,potato,176.5,43.93,165.53,5.84,804.94,12.2,1.406,18.66
Haryana,mango,92.93,50.57,121.96,5.71,827.4,23.45,0.98,19.72
Karnataka,cotton,72.57,44.74,41.26,6.77,642.86,30.44,0.599,1.301
Uttarakhand,tea,56.43,24.04,59.46,4.7,3652.51,23.58,0.492,2.416
Kerala,sugarcane,164.57,89.82,120.72,7.08,1011.21,28.51,2.84,81.161
Nagaland,pulses,10.97,41.66,32.02,6.42,690.02,26.17,0.137,1.937
Himachal Pradesh,maize,82.92,35.32,35.25,6.46,707.35,20.03,0.407,2.635
Jharkhand,mango,83.31,40.92,82.69,6.7,1102.88,28.62,0.806,20.211
Chhattisgarh,banana,249.67,53.05,282.48,5.82,2073.14,26.1,2.04,32.539
Nagaland,soybean,36.09,44.49,27.3,7.09,785.95,23.88,0.439,2.527
Jharkhand,sugarcane,164.18,60.6,117.22,6.41,1065.94,22.21,1.367,74.284
Odisha,mango,69.43,31.4,54.05,6.31,1483.03,29.79,0.414,30.875
Telangana,millet,31.47,27.32,28.64,6.86,436.57,35.91,0.309,2.339
Odisha,millet,27.48,27.64,27.92,6.73,512.08,34.33,0.127,1.021
West Bengal,mango,81.91,23.55,64.41,7.23,1294.77,27.48,0.405,18.029
Tripura,coffee,55.97,43.23,59.29,6.45,1673.62,21.84,0.303,1.381
Tamil Nadu,potato,177.93,61.13,233.49,5.49,1007.37,18.26,1.728,23.181
Assam,sugarcane,145.9,79.19,122.57,6.7,1429.09,26.51,1.094,88.577
Tamil Nadu,rice,95.05,34.77,44.25,6.35,1464.89,31.77,1.201,4.754
Andhra Pradesh,groundnut,34.64,30.82,58.04,6.12,949.4,21.06,0.514,1.828
Andhra Pradesh,mango,52.24,45.86,125.76,5.69,1318.1,20.59,0.272,22.541
Gujarat,coffee,63.86,47.48,36.1,5.72,2456.41,25.94,0.468,2.322
Madhya Pradesh,cotton,69.07,51.63,80.73,6.61,990.52,26.98,1.609,2.275
Bihar,soybean,46.23,35.73,29.13,6.66,432.46,21.13,0.118,2.701
Tamil Nadu,soybean,47.36,44.49,38.07,7.19,704.72,28.11,0.698,1.42
Punjab,soybean,49.31,43.3,23,6.98,782.15,27.02,0.308,2.255
Tripura,rice,85.35,45.39,50.04,5.13,783.4,28.63,0.384,3.688
Goa,wheat,74.78,40.29,36.43,7.43,468.8,16.55,0.502,3.437
Uttarakhand,groundnut,41.97,39.73,44.09,5.91,577.67,30.38,0.312,2.787
Sikkim,rice,92.67,30.6,37.04,5.7,1874.4,24.23,0.825,7.211
Assam,cotton,90.23,56.19,56.91,6.28,711.23,26.08,1.641,0.877
Gujarat,groundnut,46.11,28.3,44.17,6.56,1094.06,24.6,0.207,1.833
West Bengal,mango,91.72,42.4,53.39,7.43,1096.5,26.17,0.8,19.13
Uttar Pradesh,rice,75.6,54.2,52.03,5.16,1873.25,32.48,1.017,4.327
Meghalaya,soybean,48.51,55.27,44.29,7.19,817.24,27.66,0.253,1.589
Karnataka,sugarcane,167.52,76.06,86.28,6.46,1632.26,24.76,1.128,86.321
Andhra Pradesh,coffee,46.55,26.2,60.85,5.67,1374.28,23.8,0.561,1.816
Chhattisgarh,wheat,94.3,42.21,26.56,7.77,324.2,18.17,0.385,1.976
Himachal Pradesh,rice,106.17,51.14,43.79,6.66,885.14,26.32,0.923,4.234
Assam,groundnut,30.9,36.13,47.53,5.83,502.26,22.88,0.495,1.067
Madhya Pradesh,maize,68.06,23.11,33.57,7.27,589.35,18.94,0.628,3.322
Telangana,mango,79.92,59.81,58.46,6.75,1524.23,24.8,0.662,21.716
Karnataka,rice,76.32,30.28,33.79,6.7,1594.49,27.18,0.287,5.762
West Bengal,millet,27.77,27.75,19.19,7.36,294.31,35.95,0.248,1.06
Mizoram,maize,63.26,30.69,31.56,7.16,696.89,22.88,0.479,2.657
Haryana,soybean,31.44,49.86,43.56,7.2,906.29,27.48,0.286,2.692
Mizoram,wheat,84.02,59.3,49.63,6.69,628.32,10.84,0.379,2.45
Uttar Pradesh,potato,166.86,71.49,207.64,6.3,754.63,21.34,0.889,18.938
Haryana,maize,61.39,38.81,33.87,5.72,775.31,20.01,0.215,3.218
West Bengal,tomato,120.16,45.4,132.51,6.15,1475.92,27.92,3.897,84.512
Jharkhand,coffee,57.96,33.28,36.56,5.52,1618.65,23.16,1.071,1.093
Nagaland,mango,75.63,50.92,88.7,7.28,958.12,30.91,0.943,14.364
Manipur,groundnut,36.21,32.16,48.42,5.71,648.01,32.42,0.256,2.027
Karnataka,tomato,83.06,74.86,88.25,6.42,625.56,20.88,1.103,52.904
Haryana,coffee,59.74,26.63,40.3,5.71,2010.15,20.6,0.504,2.066
Mizoram,rice,106.08,31.84,50.08,6.62,1017.05,31.6,1.281,4.622
Kerala,coffee,35.09,32.28,66.25,6.46,2610.01,27.8,0.276,1.126
